supplier,category,title,sku,gtin,sitePrice,landedCost,carriageKnown,photos,tier,rrp,stock,mineBay,keepeBay,minOnBuy,keepOnBuy,vsRrp,viableOnEbayUnderRrp
D.I. Designs,coffee-tables,Abberley Coffee Table in Brown,KK-CT-ABB-BRN-001,,555,444,yes,5,below,,,679,136.35,640,128.6,,yes
D.I. Designs,living-room-storage,Alton White Chest of Drawers,COD-12W,,589,438,yes,5,below,,,670,134.65,631,126.55,,yes
D.I. Designs,side-tables,Hampton Ivory Shagreen Nest of Tables,NT-01I,,548,438,yes,5,below,,,670,134.65,631,126.55,,yes
Hill Interiors,living-room-storage,Delphine Collection Sliding Glass Dresser Top,24658,5050140465882,713,435.59,yes,5,strong,750,4,666,133.64,628,126.27,11.2,yes
D.I. Designs,bedside-tables,Hampton Ivory Square Bedside Table,BT-14I,,533,426,yes,6,below,,,651,130.4,614,123.33,,yes
D.I. Designs,side-tables,Elmley Grey End Table,ET-01,,518,414,yes,4,below,,,633,127.02,596,119.22,,yes
Aosom,garden-furniture,"5-Piece Rattan Garden Set with Gas Fire Pit Table, Grey",860-335V70GY,,589.75,412.55,yes,4,below,,,631,126.75,594,118.88,,yes
D.I. Designs,bedside-tables,Broadway Oak Bedside Table,BT-09,,495,396,yes,5,below,,,605,121.07,571,114.85,,yes
D.I. Designs,bathroom-mirrors,Hampton Ivory Shagreen Square Wall Mirror,MI-01I,,495,396,yes,4,below,,,605,121.07,571,114.85,,yes
D.I. Designs,console-tables,Five Black Console Table,CO-03,,488,390,yes,3,below,,,596,119.38,562,112.79,,yes
D.I. Designs,coffee-tables,Crofton White Marble Coffee Table,KK-CT-CRO-WHT-001,,449,355,yes,4,below,,,543,109.06,512,103.04,,yes
D.I. Designs,bedside-tables,Charlton Ribbed Walnut 2 Drawer Bedside Table,BT-06,,443,354,yes,7,below,,,541,108.36,510,102.25,,yes
Aosom,garden-furniture,"6-Piece Rattan Garden Sofa Set with Washable Covers, Grey",84G-547V70LR,,559,350.24,yes,4,strong,,,536,107.84,505,101.53,,yes
Hill Interiors,sofas,Vellis Blue Wingback Armchair,24373,,570,352.07,yes,5,strong,600,5,538,107.72,507,101.5,10.3,yes
D.I. Designs,console-tables,Alton White Console Table,CO-17W,,420,336,NO — margin overstated,5,below,,,514,103.27,484,96.98,,yes
Hill Interiors,sofas,Avia Mist Armchair,24489,5050140448984,570,332.15,yes,5,strong,600,12,508,101.99,479,96.35,15.3,yes
Aosom,garden-furniture,6-Seater Garden Dining Set with Stackable Chairs,83A-218V00ND,,465,328.52,yes,4,below,,,502,100.49,473,94.62,,yes
D.I. Designs,bedside-tables,Abberley White Bedside Table,BT-13W,,399,318,yes,6,below,,,486,97.33,458,91.71,,yes
Aosom,garden-furniture,"7-Seater Rattan Sofa Set with Glass-Top Table, Dark Blue",860-015V70GG,,489,316.09,yes,4,viable,,,483,96.68,456,91.83,,yes
D.I. Designs,coffee-tables,Overbury Coffee Table in Chocolate Brown,KK-CT-OVB-BRN-001,,409,310,yes,4,below,,,474,95.07,447,89.87,,yes
Aosom,garden-furniture,"6-Piece Aluminium Sectional Garden Sofa Set, Grey",84B-656,,420.97,295.24,yes,4,below,,,452,91.02,426,85.83,,yes
D.I. Designs,coffee-tables,Pershore Rectangular Aged Oak Coffee Table,KK-CT-PER-OAK-001,,720,295,yes,5,strong,,,451,90.41,425,85.17,,yes
Aosom,garden-furniture,"8-Seater Rattan Corner Dining Set with Footstool, Black",860-025,,425.82,295.01,yes,4,below,,,451,90.4,425,85.17,,yes
D.I. Designs,bedside-tables,Berkeley Black 1 Drawer Bedside Table,BT-08B,,395,285,yes,9,below,,,436,87.58,411,82.65,,yes
D.I. Designs,bedside-tables,Grafton Black Bedside Table,BT-05,,375,285,yes,4,below,,,436,87.58,411,82.65,,yes
D.I. Designs,side-tables,Neatham End Table,ET-06,,357,285,yes,4,below,,,436,87.58,411,82.65,,yes
Aosom,garden-furniture,"5-Seater Aluminium Garden Sofa Set, Grey",860-053,,387.02,274.85,yes,4,below,,,420,84.05,396,79.37,,yes
Hill Interiors,living-room-storage,Contour Collection 2 Drawer 2 Door Sideboard,24332,5050140433287,428,269.51,yes,5,strong,450,31,412,82.55,389,78.45,8.4,yes
Hill Interiors,coffee-tables,Serene Rattan Coffee Table,23900,,428,269.51,yes,5,strong,450,16,412,82.55,389,78.45,8.4,yes
D.I. Designs,side-tables,Abberley White End Table,ET-04W,,330,264,yes,5,below,,,404,81.22,381,76.79,,yes
Hill Interiors,garden-furniture,Capri Collection Outdoor Foot Stool,22954,5050140295489,418,258.95,yes,5,strong,440,1,396,79.43,373,74.69,10,yes
Hill Interiors,garden-furniture,Provence Collection Outdoor Bistro Table,24515,5050140451588,399,251.99,yes,4,strong,420,17,386,77.84,363,72.69,8.1,yes
Hill Interiors,sofas,Zephra White Armchair,24367,,390,248.63,yes,5,viable,410,33,380,76.07,359,72.48,7.3,yes
Hill Interiors,garden-furniture,Amalfi Collection Outdoor Bistro Table With Wood Top,23905,5050140390580,390,245.03,yes,5,strong,410,1,375,75.4,353,70.71,8.5,yes
D.I. Designs,side-tables,Grafton Black End Table,ET-24,,300,235,yes,4,below,,,360,72.6,339,68.21,,yes
Hill Interiors,garden-furniture,Capri Collection Outdoor Dining Chair,22951,5050140295182,361,234.71,yes,5,viable,380,13,359,72.03,338,67.6,5.5,yes
Hill Interiors,shelving,Saltaire Collection 3-Shelf Unit,24542,5050140310588,380,233.99,yes,2,strong,,,358,71.9,337,67.42,,yes
D.I. Designs,side-tables,Norton Black Square End Table,ET-08,,299,220,yes,4,below,,,337,67.94,317,63.52,,yes
Hill Interiors,garden-furniture,Provence Collection Outdoor Dining Chair,23904,5050140390481,352,217.19,yes,4,strong,370,53,332,66.47,313,62.75,10.3,yes
Hill Interiors,sofas,Rutland Rectangular Bench,23981,,323,212.87,yes,5,viable,340,2,326,65.66,307,61.69,4.1,yes
Hill Interiors,kitchen-lighting,Solara Orb Pendant Ceiling Light,24456,5050140445686,333,210.23,yes,5,strong,350,5,322,64.88,303,60.75,8,yes
D.I. Designs,lighting,Large Round Gesso Table Lamp,LA-03,,290,210,yes,7,below,,,321,64.25,303,60.98,,yes
Hill Interiors,side-tables,Rutland Side Table,23983,,304,192.95,yes,5,viable,320,19,295,59.07,278,55.66,7.8,yes
D.I. Designs,lighting,Large Ribbed Gesso Table Lamp,LA-04,,238,190,yes,6,below,,,291,58.61,274,55.03,,yes
Hill Interiors,shelving,Large Circular Silver Wall Hanging Multi Shelf,18772,5050140877296,295,182.39,yes,4,strong,310,1,279,55.96,263,52.8,10,yes
Hill Interiors,bedside-tables,Serene Three Drawer Bedside Table,23895,,295,182.39,yes,5,strong,310,15,279,55.96,263,52.8,10,yes
D.I. Designs,lighting,Bamboo Gesso Table Lamp,LA-05,,219,175,yes,7,below,,,268,53.94,253,51.23,,yes
D.I. Designs,lighting,Small Rectangular Gesso Table Lamp,LA-01,,219,175,yes,7,below,,,268,53.94,253,51.23,,yes
Aosom,outdoor-kitchens,"4+1 Burner Gas Barbecue with Side Table, Black",846-195V70BK,,252,171.61,yes,4,viable,,,263,53.05,248,50.15,,yes
Aosom,pergolas,"Metal Pergola with Sliding Canopy and Curtains, Grey",84C-441V00LG,,261,168.7,NO — margin overstated,5,viable,,,258,51.69,244,49.48,,yes
Hill Interiors,side-tables,Haldon Collection Large 1 Drawer Lamp Table,24912,5050140491287,257,165.11,yes,5,viable,270,23,253,51,238,47.7,6.3,yes
Hill Interiors,coffee-tables,Romanby Stone Round Coffee Table,24916,5050140491683,228,165.11,yes,4,below,239.95,45,253,51,238,47.7,-5.4,yes
Aosom,pergolas,"Two-Tier Patio Gazebo with Netting and Curtains, Beige",84C-269BG,,228.91,162.74,NO — margin overstated,4,below,,,249,49.95,235,47.38,,yes
Aosom,fire-pits,"50,000 BTU Gas Fire Pit Table with Glass Screen, Grey",842-345V70GY,,249,162.02,yes,4,viable,,,248,49.82,234,47.21,,yes
Hill Interiors,vases,Large Hammered Silver Astral Vase,21717,5050140171783,257,161.51,yes,2,strong,270,10,247,49.48,233,46.83,8.5,yes
Aosom,fire-pits,"50,000 BTU Gas Fire Pit Table with Glass Screen, Dark Grey",842-345V70CG,,229,152.34,NO — margin overstated,4,viable,,,233,46.67,220,44.36,,yes
Aosom,pergolas,"Steel Pergola with Retractable Canopy, Khaki",84C-470V02KK,,221,146.66,NO — margin overstated,4,viable,,,225,45.52,212,42.88,,yes
Hill Interiors,side-tables,Serene One Drawer Side Table,23894,,238,147.59,yes,5,strong,250,60,226,45.44,213,42.85,9.6,yes
Hill Interiors,candles-and-lanterns,Set Of Three Wooden Lanterns With Archway Design,17461,5050140746196,219,144.23,yes,6,viable,230,67,221,44.52,208,41.73,3.9,yes
Aosom,beds,"5ft King Bed Frame with Hydraulic Storage and LED Lighting, Grey",83D-185V03CG,,263,140.77,NO — margin overstated,4,strong,,,216,43.71,203,40.71,,yes
D.I. Designs,bedside-tables,Chilworth Grey Bedside Table,BT-32G,,179,140,yes,4,below,,,215,43.63,202,40.59,,yes
Aosom,outdoor-kitchens,"Five-Burner Steel Gas Barbecue with Thermometer, Black",846-136V70BK,,198,139.52,yes,4,below,,,214,43.25,202,41.07,,yes
Aosom,beds,Metal High Sleeper Bunk Bed with Desk,83D-299V70GY,,229,135,NO — margin overstated,4,strong,,,207,41.78,195,39.33,,yes
Aosom,fire-pits,"14.5kW Rattan Gas Fire Pit Dining Table, Grey",867-123V00GY,,193.02,135.17,NO — margin overstated,4,below,,,207,41.62,195,39.16,,yes
Aosom,beds,King Size Gas-Lift Ottoman Bed with Tufted Headboard,83D-149V72CG,,203.69,133.57,NO — margin overstated,4,viable,,,205,41.5,193,38.97,,yes
Aosom,fire-pits,"14.5kW Rattan Gas Fire Pit Dining Table, Dark Grey",867-123V00CG,,186.23,130.16,NO — margin overstated,4,below,,,200,40.64,188,37.9,,yes
